Mkt Fintech — Nifty 100  |  Companies  |  92 records,,,,,,,,,,
ticker,company_name,website,nse_profile,bse_profile,face_value,book_value,roce_percentage,roe_percentage,,year
ABB,Abbott India Ltd,https://www.abbott.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=ABBOTINDIA,https://www.bseindia.com/stock-share-price/abbott-india-ltd/ABBOTINDIA/500488/,10,1657,46,34.9,,2019
ADANIENSOL,Adani Energy Solutions Ltd,https://www.adanienergysolutions.com/,https://www.nseindia.com/get-quotes/equity?symbol=ADANIENSOL,https://www.bseindia.com/stock-share-price/adani-energy-solutions-ltd/ADANIENSOL/539254/,10,175,9,8.59,,2020
ADANIENT,Adani Enterprises Ltd,https://www.adanienterprises.com/,https://www.nseindia.com/get-quotes/equity?symbol=ADANIENT,https://www.bseindia.com/stock-share-price/adani-enterprises-ltd/adanient/512,1,363,11.6,13.64,,2021
ADANIGREEN,Adani Green Energy Ltd,http://www.adanigreenenergy.com/,https://www.nseindia.com/get-quotes/equity?symbol=ADANIGREEN,https://www.bseindia.com/stock-share-price/adani-green-energy-ltd/ADANIGREEN/541450/,10,67,96.5,14.7,,2022
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",http://www.adaniports.com/,https://www.nseindia.com/get-quotes/equity?symbol=ADANIPORTS,https://www.bseindia.com/stock-share-price/adani-ports-special-economic-zone-ltd/ADANIPORTS/532921/,2,265,12.9,18.1,,2025
ADANIPOWER,Adani Power Ltd,http://www.adani.com/,https://www.nseindia.com/get-quotes/equity?symbol=ADANIPOWER,https://www.bseindia.com/stock-share-price/adani-power-ltd/ADANIPOWER/533096/,10,145,32.2,57.1,,2026
AMBUJACEM,Ambuja Cements Ltd,https://www.ambujacement.com/,https://www.nseindia.com/get-quotes/equity?symbol=AMBUJACEM,https://www.bseindia.com/stock-share-price/ambuja-cements-ltd/AMBUJACEM/500425/,2,205,12.8,9.24,,2021
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",https://www.apollohospitals.com/,https://www.nseindia.com/get-quotes/equity?symbol=APOLLOHOSP,https://www.bseindia.com/stock-share-price/apollo-hospitals-enterprise-ltd/apollohosp/508869/,5,522,17.2,13.81,,2021
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",https://www.asianpaints.com/,https://www.nseindia.com/get-quotes/equity?symbol=ASIANPAINT,https://www.bseindia.com/stock-share-price/asian-paints-ltd/asianpaint/500820/,1,188,41.75,31.45,,2021
ATGL,Adani Total Gas Ltd,http://www.adanigas.com/,https://www.nseindia.com/get-quotes/equity?symbol=ATGL,https://www.bseindia.com/stock-share-price/adani-total-gas-ltd/ATGL/542066/,1,36,21.2,20.5,,2021
AXISBANK,Axis Bank Ltd,http://www.axisbank.com/,https://www.nseindia.com/get-quotes/equity?symbol=AXISBANK,https://www.bseindia.com/stock-share-price/axis-bank-ltd/AXISBANK/532215/,2,509,7.06,18.4,,2021
BAJAJ-AUTO,Bajaj Auto Ltd,https://www.bajajauto.com/,https://www.nseindia.com/get-quotes/equity?symbol=BAJAJ-AUTO,https://www.bseindia.com/stock-share-price/bajaj-auto-ltd/BAJAJ-AUTO/532977/,10,1109,33.5,26.5,,2021
BAJAJFINSV,Bajaj Finserv Ltd,https://www.bajajfinserv.in/,https://www.nseindia.com/get-quotes/equity?symbol=BAJAJFINSV,https://www.bseindia.com/stock-share-price/bajaj-finserv-ltd/bajajfinsv/532978/,1,428,21.14,11.72,,2021
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,https://www.bhil.in/,https://www.nseindia.com/get-quotes/equity?symbol=BAJAJHLDNG,https://www.bseindia.com/stock-share-price/bajaj-holdings-investment-ltd/BAJAJHLDNG/500490/,10,5375,13.1,14.8,,2021
BAJFINANCE,Bajaj Finance Ltd,https://www.bajajfinserv.in/,https://www.nseindia.com/get-quotes/equity?symbol=BAJFINANCE,https://www.bseindia.com/stock-share-price/bajaj-finance-ltd/BAJFINANCE/500034/,2,1402,11.9,22.1,,2021
BANKBARODA,Bank of Baroda,http://www.bankofbaroda.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=BANKBARODA,https://www.bseindia.com/stock-share-price/bank-of-baroda/BANKBARODA/532134/,2,231,6.33,16.7,,2021
BEL,Bharat Electronics Ltd,http://www.bel-india.in/,https://www.nseindia.com/get-quotes/equity?symbol=BEL,https://www.bseindia.com/stock-share-price/bharat-electronics-ltd/BEL/500049/,1,24,34.6,26.3,,2021
BHARTIARTL,Bharti Airtel Ltd,http://www.airtel.in/,https://www.nseindia.com/get-quotes/equity?symbol=BHARTIARTL,https://www.bseindia.com/stock-share-price/bharti-airtel-ltd/BHARTIARTL/532454/,5,153,13.1,14.9,,2021
BHEL,"Bharat Heavy Electricals Limited
",https://www.bhel.com/,https://www.nseindia.com/get-quotes/equity?symbol=BHEL,https://www.bseindia.com/stock-share-price/bharat-electronics-ltd/bel/500049/,2,70,3.28,1.05,,2021
BOSCHLTD,Bosch Ltd,https://www.bosch.in/,https://www.nseindia.com/get-quotes/equity?symbol=BOSCHLTD,https://www.bseindia.com/stock-share-price/bosch-ltd/BOSCHLTD/500530/,10,4319,20.6,16,,2021
BPCL,Bharat Petroleum Corporation Ltd,https://www.bharatpetroleum.in/,https://www.nseindia.com/get-quotes/equity?symbol=BPCL,https://www.bseindia.com/stock-share-price/bharat-petroleum-corporation-ltd/BPCL/500547/,10,178,32.1,41.9,,2021
BRITANNIA,Britannia Industries Ltd,https://www.britannia.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=BRITANNIA,https://www.bseindia.com/stock-share-price/britannia-industries-ltd/BRITANNIA/500825/,1,133,48.9,57.1,,2021
CANBK,Canara Bank,http://www.canarabank.com/,https://www.nseindia.com/get-quotes/equity?symbol=CANBK,https://www.bseindia.com/stock-share-price/canara-bank/CANBK/532483/,2,102,6.63,17.9,,2021
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,https://www.cholamandalam.com/,https://www.nseindia.com/get-quotes/equity?symbol=CHOLAFIN,https://www.bseindia.com/stock-share-price/cholamandalam-investment-finance-company-ltd/CHOLAFIN/511243/,2,255,10.4,20.2,,2021
CIPLA,"Cipla Ltd
",https://www.cipla.com/,https://www.nseindia.com/get-quotes/equity?symbol=CIPLA,https://www.bseindia.com/stock-share-price/cipla-ltd/CIPLA/500087/,2,351,22.8,16.8,,2021
COALINDIA,Coal India Ltd,http://www.coalindia.in/,https://www.nseindia.com/get-quotes/equity?symbol=COALINDIA,https://www.bseindia.com/stock-share-price/coal-india-ltd/COALINDIA/533278/,10,156,63.6,52,,2021
DABUR,Dabur India Ltd,http://www.dabur.com/,https://www.nseindia.com/get-quotes/equity?symbol=DABUR,https://www.bseindia.com/stock-share-price/dabur-india-ltd/DABUR/500096/,1,59,22.3,19.2,,2021
DIVISLAB,Divis Laboratories Ltd,https://www.divislaboratories.com/lander,https://www.nseindia.com/get-quotes/equity?symbol=DIVISLAB,https://www.bseindia.com/stock-share-price/divis-laboratories-ltd/DIVISLAB/532488/,2,517,16.5,12.2,,2021
DLF,DLF Ltd,https://www.dlf.in/,https://www.nseindia.com/get-quotes/equity?symbol=DLF,https://www.bseindia.com/stock-share-price/dlf-ltd/DLF/532868/,2,163,5.74,6.95,,2021
DMART,Avenue Supermarts Ltd,http://www.dmartindia.com/,https://www.nseindia.com/get-quotes/equity?symbol=DMART,https://www.bseindia.com/stock-share-price/avenue-supermarts-ltd/DMART/540376/,10,309,19.4,14.5,,2021
DRREDDY,Dr Reddys Laboratories Ltd,https://www.drreddys.com/,https://www.nseindia.com/get-quotes/equity?symbol=DRREDDY,https://www.bseindia.com/stock-share-price/dr-reddys-laboratories-ltd/DRREDDY/500124/,1,369,26.5,21.4,,2021
EICHERMOT,Eicher Motors Ltd,https://www.eicher.in/,https://www.nseindia.com/get-quotes/equity?symbol=EICHERMOT,https://www.bseindia.com/stock-share-price/eicher-motors-ltd/EICHERMOT/505200/,1,693,31.1,24.2,,2021
GAIL,GAIL (India) Ltd,https://gailonline.com/,https://www.nseindia.com/get-quotes/equity?symbol=GAIL,https://www.bseindia.com/stock-share-price/gail-india-ltd/GAIL/532155/,10,127,14.7,14,,2021
GODREJCP,Godrej Consumer Products Ltd,https://www.godrejcp.com/,https://www.nseindia.com/get-quotes/equity?symbol=GODREJCP,https://www.bseindia.com/stock-share-price/godrej-consumer-products-ltd/godrejcp/532424/,1,119,26.49,6.77,,2021
GRASIM,Grasim Industries Ltd,https://www.grasim.com/,https://www.nseindia.com/get-quotes/equity?symbol=GRASIM,https://www.bseindia.com/stock-share-price/grasim-industries-ltd/GRASIM/500300/,2,1411,9.3,6.9,,2021
HAL,Hindustan Aeronautics Ltd,https://hal-india.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=HAL,https://www.bseindia.com/stock-share-price/hindustan-aeronautics-ltd/HAL/541154/,5,465,38.9,28.9,,2021
HAVELLS,Havells India Ltd,https://havells.com/,https://www.nseindia.com/get-quotes/equity?symbol=HAVELLS,https://www.bseindia.com/stock-share-price/havells-india-ltd/HAVELLS/517354/,1,124,24.4,18,,2021
HCLTECH,HCL Technologies Ltd,https://www.hcltech.com/,https://www.nseindia.com/get-quotes/equity?symbol=HCLTECH,https://www.bseindia.com/stock-share-price/hcl-technologies-ltd/HCLTECH/532281/,2,254,29.6,23.3,,2021
HDFCBANK,HDFC Bank Ltd,http://www.hdfcbank.com/,https://www.nseindia.com/get-quotes/equity?symbol=HDFCBANK,https://www.bseindia.com/stock-share-price/hdfc-bank-ltd/HDFCBANK/500180/,1,601,7.67,17.1,,2021
HDFCLIFE,HDFC Life Insurance Company Ltd,http://www.hdfclife.com/,https://www.nseindia.com/get-quotes/equity?symbol=HDFCLIFE,https://www.bseindia.com/stock-share-price/hdfc-life-insurance-company-ltd/HDFCLIFE/540777/,10,73,6.61,11.4,,2021
HEROMOTOCO,"Hero MotoCorp Ltd
",http://www.heromotocorp.com/,https://www.nseindia.com/get-quotes/equity?symbol=HEROMOTOCO,https://www.bseindia.com/stock-share-price/hero-motocorp-ltd/HEROMOTOCO/500182/,2,951,29.1,22,,2021
HINDALCO,Hindalco Industries Ltd,http://www.hindalco.com/,https://www.nseindia.com/get-quotes/equity?symbol=HINDALCO,https://www.bseindia.com/stock-share-price/hindalco-industries-ltd/HINDALCO/500440/,1,153,11.3,10.2,,2021
HINDUNILVR,"Hindustan Unilever Ltd
",http://www.hul.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=HINDUNILVR,https://www.bseindia.com/stock-share-price/hindustan-unilever-ltd/HINDUNILVR/500696/,1,216,27.2,20.2,,2021
ICICIBANK,ICICI Bank Ltd,http://www.icicibank.com/,https://www.nseindia.com/get-quotes/equity?symbol=ICICIBANK,https://www.bseindia.com/stock-share-price/icici-bank-ltd/ICICIBANK/532174/,2,365,7.6,18.8,,2021
ICICIGI,ICICI Lombard General Insurance Company Ltd,http://www.icicilombard.com/,https://www.nseindia.com/get-quotes/equity?symbol=ICICIGI,https://www.bseindia.com/stock-share-price/icici-lombard-general-insurance-company-ltd/ICICIGI/540716/,10,275,22.5,17,,2021
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,https://www.iciciprulife.com/,https://www.nseindia.com/get-quotes/equity?symbol=ICICIPRULI,https://www.bseindia.com/stock-share-price/icici-prudential-life-insurance-company-ltd/ICICIPRULI/540133/,10,80,8.75,8.07,,2021
INDIGO,Interglobe Aviation Ltd,http://www.goindigo.in/,https://www.nseindia.com/get-quotes/equity?symbol=INDIGO,https://www.bseindia.com/stock-share-price/interglobe-aviation-ltd/INDIGO/539448/,10,97,24.5,,,2021
INDUSINDBK,IndusInd Bank Ltd,https://www.indusind.com/in/en/personal.html,https://www.nseindia.com/get-quotes/equity?symbol=INDUSINDBK,https://www.bseindia.com/stock-share-price/indusind-bank-ltd/INDUSINDBK/532187/,10,807,7.93,15.2,,2021
INFY,Infosys Ltd,http://www.infosys.com/,https://www.nseindia.com/get-quotes/equity?symbol=INFY,https://www.bseindia.com/stock-share-price/infosys-ltd/INFY/500209/,5,218,40,31.8,,2021
IOC,"Indian Oil Corporation
",https://www.iocl.com/,https://www.nseindia.com/get-quotes/equity?symbol=IOC,https://www.bseindia.com/stock-share-price/indian-oil-corporation-ltd/ioc/530965/,10,129,21.31,25.44,,2021
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,http://www.irctc.com/,https://www.nseindia.com/get-quotes/equity?symbol=IRCTC,https://www.bseindia.com/stock-share-price/indian-railway-catering-tourism-corporation-ltd/IRCTC/542830/,2,44,53.8,40.4,,2021
IRFC,Indian Railway Finance Corporation Ltd,https://irfc.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=IRFC,https://www.bseindia.com/stock-share-price/indian-railway-finance-corporation-ltd/IRFC/543257/,10,39,5.73,13.7,,2021
ITC,"ITC Ltd
",https://www.itcportal.com/,https://www.nseindia.com/get-quotes/equity?symbol=ITC,https://www.bseindia.com/stock-share-price/itc-ltd/itc/500875/,1,60,34.76,29.47,,2021
JINDALSTEL,Jindal Steel & Power Ltd,http://www.jindalsteelpower.com/,https://www.nseindia.com/get-quotes/equity?symbol=JINDALSTEL,https://www.bseindia.com/stock-share-price/jindal-steel-power-ltd/JINDALSTEL/532286/,1,464,13.2,14.1,,2021
JIOFIN,Jio Financial Services Ltd,https://www.jfs.in/,https://www.nseindia.com/get-quotes/equity?symbol=JIOFIN,https://bseindia.com/stock-share-price/jio-financial-services-ltd/jiofin/543940/,10,216,2.16,1.82,,2021
JSWENERGY,JSW Energy Ltd,https://www.jsw.in/,https://www.nseindia.com/get-quotes/equity?symbol=JSWENERGY,https://www.bseindia.com/stock-share-price/jsw-energy-ltd/JSWENERGY/533148/,10,160,8.59,8.4,,2021
JSWSTEEL,JSW Steel Ltd,https://www.jswsteel.in/,https://www.nseindia.com/get-quotes/equity?symbol=JSWSTEEL,https://www.bseindia.com/stock-share-price/jsw-steel-ltd/jswsteel/500228/,1,326,13.36,11.66,,2021
KOTAKBANK,"Kotak Mahindra Bank Ltd
",https://www.kotak.com/en/home.html,https://www.nseindia.com/get-quotes/equity?symbol=KOTAKBANK,https://www.bseindia.com/stock-share-price/kotak-mahindra-bank-ltd/KOTAKBANK/500247/,5,654,7.86,15.1,,2021
LICI,Life Insurance Corporation of India,https://www.licindia.in/,https://www.nseindia.com/get-quotes/equity?symbol=LICI,https://www.bseindia.com/stock-share-price/life-insurance-corporation-of-india/lici/543526/,10,154,63.79,63.61,,2021
