company_id,cluster_id,cluster_name,distance_from_centroid
1,0,High Growth,0.9290018363092545
2,3,Risky Bets,1.5273994551652947
3,3,Risky Bets,1.472053620501429
4,0,High Growth,1.8065883885636451
5,0,High Growth,2.089353104105331
6,2,Undervalued,1.160904904303107
7,2,Undervalued,0.7030130387749031
8,0,High Growth,1.2819322995766953
9,0,High Growth,1.5597455553109134
10,4,Cash Rich,1.6640063026536716
11,3,Risky Bets,1.3227718750163489
12,1,Stable Performers,1.5507803855850457
13,1,Stable Performers,0.8981444943725693
14,1,Stable Performers,1.2866291829106395
15,1,Stable Performers,1.5134382711275074
16,2,Undervalued,2.2229351800891353
17,0,High Growth,1.8870772586801579
18,0,High Growth,1.6544604009641348
19,0,High Growth,1.2880007057810825
20,4,Cash Rich,1.7716853278855287
21,3,Risky Bets,1.523104394611127
22,3,Risky Bets,0.8923806713068838
23,2,Undervalued,1.5667910283968887
24,2,Undervalued,1.851793321162455
25,0,High Growth,1.5755122912008415
26,3,Risky Bets,1.7843363655143678
27,1,Stable Performers,1.7005904829238359
28,1,Stable Performers,1.4375953075971062
29,4,Cash Rich,1.5149097922626402
30,4,Cash Rich,1.633079529757977
31,2,Undervalued,1.88177554217898
32,2,Undervalued,1.86485880591056
33,0,High Growth,1.1647580349634656
34,0,High Growth,1.2569838957364654
35,0,High Growth,1.5917305595547766
36,0,High Growth,1.939730028579023
37,0,High Growth,1.143705145576909
38,4,Cash Rich,1.6129199539737438
39,4,Cash Rich,1.4518254305640472
40,4,Cash Rich,1.9087476138451505
41,3,Risky Bets,1.8308702689002745
42,3,Risky Bets,1.568333421303999
43,1,Stable Performers,0.7620115201600053
44,1,Stable Performers,1.3946486359321695
45,1,Stable Performers,1.7187683577726895
46,2,Undervalued,1.8005519106196566
47,2,Undervalued,1.3341368073775464
48,2,Undervalued,1.5320211905793808
49,0,High Growth,1.0503752574291194
50,4,Cash Rich,1.7284891512199514
51,3,Risky Bets,1.3227718750163489
52,3,Risky Bets,1.3382980429378368
53,1,Stable Performers,1.4629407845405045
54,1,Stable Performers,1.475851358155437
55,1,Stable Performers,1.8759485518438686
56,2,Undervalued,2.0402160867044357
57,1,Stable Performers,1.7471221821726388
58,4,Cash Rich,1.9868198548298968
59,4,Cash Rich,1.499215327644734
60,4,Cash Rich,1.6053267989306037
61,3,Risky Bets,1.7002335971375837
62,3,Risky Bets,1.9876235683746903
63,2,Undervalued,1.773492367515953
64,0,High Growth,1.8065883885636451
65,0,High Growth,2.0603404543026045
66,3,Risky Bets,1.4891646993047958
67,0,High Growth,1.075043577519358
68,0,High Growth,1.2819322995766953
69,4,Cash Rich,1.2519972138552469
70,4,Cash Rich,1.2012654646532794
71,3,Risky Bets,1.3885777061075466
72,2,Undervalued,1.9754961823755914
73,1,Stable Performers,1.5385237638972533
74,1,Stable Performers,1.2866291829106395
75,1,Stable Performers,1.5863471802945959
76,0,High Growth,2.172592300643809
77,0,High Growth,1.9021275273855165
78,0,High Growth,1.654460400964135
79,2,Undervalued,2.0808679114747783
80,4,Cash Rich,2.3300262352569137
81,3,Risky Bets,1.8308702689002745
82,3,Risky Bets,0.9441938303247166
83,3,Risky Bets,1.1521361563329875
84,1,Stable Performers,1.5709129176244652
85,1,Stable Performers,0.746185503704655
86,2,Undervalued,1.5694037238409182
87,2,Undervalued,1.4848595291804298
88,2,Undervalued,1.9939462540428134
89,1,Stable Performers,1.5804462663953722
90,4,Cash Rich,1.9982059476482945
91,3,Risky Bets,1.1771430766409532
92,3,Risky Bets,1.7979123332763542
