,P10,P25,P50,P75,P90,Mean,Std
KPI1,0.0850459714854151,0.15293227227024794,0.4573962545119871,0.7087663722061871,0.8585002903829624,0.4572588274359682,0.3004094268860285
KPI2,0.14079837887826377,0.2711979421163104,0.5909342863123208,0.8020861478515772,0.949038982707072,0.5478445381336415,0.2972384449312608
KPI3,0.09145296952663058,0.17777959622150027,0.45639697762964493,0.645989972304912,0.8654787538737791,0.4474504471112009,0.28563836748115395
KPI4,0.13726665195321977,0.3333671135646916,0.5056455406285909,0.6975352423847824,0.8944589267546911,0.5081911398605871,0.258980729027155
KPI5,0.07248046422570582,0.17857147427259237,0.4278951087660327,0.7156572494413173,0.8773011250009944,0.46126270271901304,0.3011731051703008
KPI6,0.15679903156406044,0.3246882245252491,0.546112482740992,0.8369340658814965,0.9276741298312645,0.5508310461182859,0.28982919036386495
KPI7,0.08566395147597142,0.27206870392676885,0.42150182532748975,0.718468091353108,0.8548792646776476,0.46951114050402387,0.2845074059120479
KPI8,0.1618452230537631,0.27920373228201406,0.5291087618042797,0.7539214235799684,0.8866103281586448,0.5162692235777678,0.2781411902573027
KPI9,0.05491580250801194,0.22749758374858,0.511862485879325,0.7650775789178048,0.9063630975100186,0.5054259053180241,0.3096785189631968
KPI10,0.09187565848459706,0.16294397000365304,0.4099224509534341,0.7263437184442348,0.863551084176284,0.4519943101248427,0.2948284336279903
