company,sector,return_on_equity_pct,debt_to_equity,revenue_cagr_5yr,fcf_cagr_5yr,operating_profit_margin_pct
Company_1,Technology,,,,,
Company_2,Finance,11.0,0.6,6.0,4.0,13.0
Company_3,Healthcare,12.0,0.7,7.0,5.0,14.0
Company_4,Energy,13.0,0.8,8.0,6.0,15.0
Company_5,Consumer,14.0,0.9,9.0,7.0,16.0
Company_6,Technology,15.0,0.5,10.0,8.0,17.0
Company_7,Finance,16.0,0.6,11.0,9.0,
Company_8,Healthcare,17.0,0.7,12.0,,19.0
Company_9,Energy,18.0,0.8,,3.0,20.0
Company_10,Consumer,19.0,0.9,14.0,4.0,21.0
Company_11,Technology,,0.5,5.0,5.0,22.0
Company_12,Finance,21.0,0.6,6.0,6.0,23.0
Company_13,Healthcare,22.0,,7.0,7.0,
Company_14,Energy,23.0,0.8,8.0,8.0,25.0
Company_15,Consumer,24.0,0.9,9.0,,26.0
Company_16,Technology,10.0,0.5,10.0,10.0,27.0
Company_17,Finance,11.0,0.6,,3.0,28.0
Company_18,Healthcare,12.0,0.7,12.0,4.0,29.0
Company_19,Energy,13.0,0.8,13.0,5.0,
Company_20,Consumer,14.0,0.9,14.0,6.0,31.0
Company_21,Technology,,0.5,5.0,7.0,12.0
Company_22,Finance,16.0,0.6,6.0,,13.0
Company_23,Healthcare,17.0,0.7,7.0,9.0,14.0
Company_24,Energy,18.0,0.8,8.0,10.0,15.0
Company_25,Consumer,19.0,,,3.0,
Company_26,Technology,20.0,0.5,10.0,4.0,17.0
Company_27,Finance,21.0,0.6,11.0,5.0,18.0
Company_28,Healthcare,22.0,0.7,12.0,6.0,19.0
Company_29,Energy,23.0,0.8,13.0,,20.0
Company_30,Consumer,24.0,0.9,14.0,8.0,21.0
Company_31,Technology,,0.5,5.0,9.0,
Company_32,Finance,11.0,0.6,6.0,10.0,23.0
Company_33,Healthcare,12.0,0.7,,3.0,24.0
Company_34,Energy,13.0,0.8,8.0,4.0,25.0
Company_35,Consumer,14.0,0.9,9.0,5.0,26.0
Company_36,Technology,15.0,0.5,10.0,,27.0
Company_37,Finance,16.0,,11.0,7.0,
Company_38,Healthcare,17.0,0.7,12.0,8.0,29.0
Company_39,Energy,18.0,0.8,13.0,9.0,30.0
Company_40,Consumer,19.0,0.9,14.0,10.0,31.0
Company_41,Technology,,0.5,,3.0,12.0
Company_42,Finance,21.0,0.6,6.0,4.0,13.0
Company_43,Healthcare,22.0,0.7,7.0,,
Company_44,Energy,23.0,0.8,8.0,6.0,15.0
Company_45,Consumer,24.0,0.9,9.0,7.0,16.0
Company_46,Technology,10.0,0.5,10.0,8.0,17.0
Company_47,Finance,11.0,0.6,11.0,9.0,18.0
Company_48,Healthcare,12.0,0.7,12.0,10.0,19.0
Company_49,Energy,13.0,,,3.0,
Company_50,Consumer,14.0,0.9,14.0,,21.0
Company_51,Technology,,0.5,5.0,5.0,22.0
Company_52,Finance,16.0,0.6,6.0,6.0,23.0
Company_53,Healthcare,17.0,0.7,7.0,7.0,24.0
Company_54,Energy,18.0,0.8,8.0,8.0,25.0
Company_55,Consumer,19.0,0.9,9.0,9.0,
Company_56,Technology,20.0,0.5,10.0,10.0,27.0
Company_57,Finance,21.0,0.6,,,28.0
Company_58,Healthcare,22.0,0.7,12.0,4.0,29.0
Company_59,Energy,23.0,0.8,13.0,5.0,30.0
Company_60,Consumer,24.0,0.9,14.0,6.0,31.0
Company_61,Technology,,,5.0,7.0,
Company_62,Finance,11.0,0.6,6.0,8.0,13.0
Company_63,Healthcare,12.0,0.7,7.0,9.0,14.0
Company_64,Energy,13.0,0.8,8.0,,15.0
Company_65,Consumer,14.0,0.9,,3.0,16.0
Company_66,Technology,15.0,0.5,10.0,4.0,17.0
Company_67,Finance,16.0,0.6,11.0,5.0,
Company_68,Healthcare,17.0,0.7,12.0,6.0,19.0
Company_69,Energy,18.0,0.8,13.0,7.0,20.0
Company_70,Consumer,19.0,0.9,14.0,8.0,21.0
Company_71,Technology,,0.5,5.0,,22.0
Company_72,Finance,21.0,0.6,6.0,10.0,23.0
Company_73,Healthcare,22.0,,,3.0,
Company_74,Energy,23.0,0.8,8.0,4.0,25.0
Company_75,Consumer,24.0,0.9,9.0,5.0,26.0
Company_76,Technology,10.0,0.5,10.0,6.0,27.0
Company_77,Finance,11.0,0.6,11.0,7.0,28.0
Company_78,Healthcare,12.0,0.7,12.0,,29.0
Company_79,Energy,13.0,0.8,13.0,9.0,
Company_80,Consumer,14.0,0.9,14.0,10.0,31.0
Company_81,Technology,,0.5,,3.0,12.0
Company_82,Finance,16.0,0.6,6.0,4.0,13.0
Company_83,Healthcare,17.0,0.7,7.0,5.0,14.0
Company_84,Energy,18.0,0.8,8.0,6.0,15.0
Company_85,Consumer,19.0,,9.0,,
Company_86,Technology,20.0,0.5,10.0,8.0,17.0
Company_87,Finance,21.0,0.6,11.0,9.0,18.0
Company_88,Healthcare,22.0,0.7,12.0,10.0,19.0
Company_89,Energy,23.0,0.8,,3.0,20.0
Company_90,Consumer,24.0,0.9,14.0,4.0,21.0
Company_91,Technology,,0.5,5.0,5.0,
Company_92,Finance,11.0,0.6,6.0,,23.0
