company,sector,return_on_equity_pct,debt_to_equity,revenue_cagr_5yr,fcf_cagr_5yr,operating_profit_margin_pct,cluster_id,cluster_name
Company_1,Technology,17.0,0.7,9.5,6.0,21.0,0,High-Quality Compounders
Company_2,Finance,11.0,0.6,6.0,4.0,13.0,3,Distressed or Turnaround
Company_3,Healthcare,12.0,0.7,7.0,5.0,14.0,3,Distressed or Turnaround
Company_4,Energy,13.0,0.8,8.0,6.0,15.0,0,High-Quality Compounders
Company_5,Consumer,14.0,0.9,9.0,7.0,16.0,0,High-Quality Compounders
Company_6,Technology,15.0,0.5,10.0,8.0,17.0,2,Value Cyclicals
Company_7,Finance,16.0,0.6,11.0,9.0,21.0,2,Value Cyclicals
Company_8,Healthcare,17.0,0.7,12.0,6.0,19.0,0,High-Quality Compounders
Company_9,Energy,18.0,0.8,9.5,3.0,20.0,0,High-Quality Compounders
Company_10,Consumer,19.0,0.9,14.0,4.0,21.0,4,Emerging Growth
Company_11,Technology,17.0,0.5,5.0,5.0,22.0,3,Distressed or Turnaround
Company_12,Finance,21.0,0.6,6.0,6.0,23.0,1,Defensive Dividend Payers
Company_13,Healthcare,22.0,0.7,7.0,7.0,21.0,1,Defensive Dividend Payers
Company_14,Energy,23.0,0.8,8.0,8.0,25.0,1,Defensive Dividend Payers
Company_15,Consumer,24.0,0.9,9.0,6.0,26.0,1,Defensive Dividend Payers
Company_16,Technology,10.0,0.5,10.0,10.0,27.0,2,Value Cyclicals
Company_17,Finance,11.0,0.6,9.5,3.0,28.0,0,High-Quality Compounders
Company_18,Healthcare,12.0,0.7,12.0,4.0,29.0,0,High-Quality Compounders
Company_19,Energy,13.0,0.8,13.0,5.0,21.0,0,High-Quality Compounders
Company_20,Consumer,14.0,0.9,14.0,6.0,31.0,4,Emerging Growth
Company_21,Technology,17.0,0.5,5.0,7.0,12.0,3,Distressed or Turnaround
Company_22,Finance,16.0,0.6,6.0,6.0,13.0,3,Distressed or Turnaround
Company_23,Healthcare,17.0,0.7,7.0,9.0,14.0,2,Value Cyclicals
